Period,Revenue ($K),COGS ($K),Gross Profit ($K),Gross Margin (%),R&D ($K),Sales & Marketing ($K),G&A ($K),Total OpEx ($K),EBITDA ($K),Net Income ($K),Cash ($K),Headcount,Procedures Completed,Avg Revenue Per Procedure ($K)
Q1 2023,420,134,286,68.1,980,310,220,1510,-1224,-1340,18200,28,85,4.9
Q2 2023,580,186,394,67.9,1020,340,230,1590,-1196,-1310,16890,30,120,4.8
Q3 2023,890,276,614,69.0,1100,380,240,1720,-1106,-1220,15670,33,190,4.7
Q4 2023,1210,375,835,69.0,1150,420,250,1820,-985,-1098,14572,38,265,4.6
Q1 2024,1840,515,1325,72.0,1200,480,270,1950,-625,-738,13834,48,380,4.8
Q2 2024,2650,742,1908,72.0,1280,560,290,2130,-222,-330,21504,58,520,5.1
Q3 2024,3480,940,2540,73.0,1350,640,310,2300,240,128,21632,68,680,5.1
Q4 2024,4430,1152,3278,74.0,1400,720,330,2450,828,710,22342,78,870,5.1
Q1 2025E,6200,1612,4588,74.0,1500,850,350,2700,1888,1620,23962,95,1150,5.4
Q2 2025E,8400,2184,6216,74.0,1600,960,370,2930,3286,2850,26812,110,1480,5.7
Q3 2025E,11000,2860,8140,74.0,1700,1100,390,3190,4950,4350,31162,125,1820,6.0
Q4 2025E,12400,3224,9176,74.0,1800,1200,410,3410,5766,5100,36262,145,2050,6.0
